Predicted,Actual,Error,kernel,degree,C,gamma,epsilon
15.84,15.64,9.334950000000001,rbf,2,0.5,0.05,0.2
16.84,22.24,9.334950000000001,rbf,2,0.5,0.05,0.2
16.84,20.8,9.334950000000001,rbf,2,0.5,0.05,0.2
16.84,19.02,9.334950000000001,rbf,2,0.5,0.05,0.2
15.84,11.54,9.334950000000001,rbf,2,0.5,0.05,0.2
16.84,19.14,9.334950000000001,rbf,2,0.5,0.05,0.2
15.84,11.76,9.334950000000001,rbf,2,0.5,0.05,0.2
16.84,18.72,9.334950000000001,rbf,2,0.5,0.05,0.2
15.84,13.96,9.334950000000001,rbf,2,0.5,0.05,0.2
16.84,21.6,9.334950000000001,rbf,2,0.5,0.05,0.2
15.84,14.34,9.334950000000001,rbf,2,0.5,0.05,0.2
15.84,14.46,9.334950000000001,rbf,2,0.5,0.05,0.2
16.84,17.04,9.334950000000001,rbf,2,0.5,0.05,0.2
16.84,17.14,9.334950000000001,rbf,2,0.5,0.05,0.2
15.84,11.16,9.334950000000001,rbf,2,0.5,0.05,0.2
15.84,14.0,9.334950000000001,rbf,2,0.5,0.05,0.2
